xyz	x	y	z	supervoxel_id	root_id	root_side	soma_side	class	type	long_tract_from_manc	soma_location	predicted_nt	predicted_nt_prob	predicted_nt_new	hemibrain_type	hemilineage
(129027, 82292, 5798)	129027	82292	5798	79521766900478101	720575940626655311	L		AN	AN_AVLP_WED_unmatched			ACH	0.69	ACH		
(130490, 84071, 5798)	130490	84071	5798	79592273083596226	720575940627588218	L		SA	SA_VTV_2	VTV		ACH	0.88	ACH		
(130592, 77996, 5798)	130592	77996	5798	79591860766753155	720575940636703374	L		AN	AN_multi_45			ACH	0.95	ACH		
(125133, 79073, 5798)	125133	79073	5798	79240085765329054	720575940627604471	L		AN	AN_IPS_GNG_6				0	unk		
(128722, 78040, 5798)	128722	78040	5798	79451123278389003	720575940630127148	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(128724, 83837, 5798)	128724	83837	5798	79451535595225908	720575940629752190	L		AN	AN_multi_112			ACH	0.93	ACH		
(129618, 81785, 5798)	129618	81785	5798	79521766900471946	720575940627844407	L		AN	GNG_unmatched				0	unk		
(125398, 77727, 5798)	125398	77727	5798	79240017045852960	720575940644695860	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(129652, 84095, 5799)	129652	84095	5799	79521904339413971	720575940628212695	L		AN	AN_multi_35			ACH	0.83	ACH		
(127121, 78723, 5798)	127121	78723	5798	79380823253671658	720575940620352109	L		SA	SA_DMT_DMetaN_4	DMT			0	unk		
(130063, 79027, 5798)	130063	79027	5798	79591929486217334	720575940610366122	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(126670, 78004, 5798)	126670	78004	5798	79310385790017803	720575940627593978	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(126605, 80068, 5798)	126605	80068	5798	79310523228973998	720575940623160202	L		AN	AN_GNG_SAD_31			ACH	0.67	ACH		
(125606, 78010, 5798)	125606	78010	5798	79240017045857864	720575940618473920	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(128295, 80724, 5798)	128295	80724	5798	79451329436813057	720575940630042951	L		SA	SA_DMT_ADMN_1	DMT			0	unk		
(130768, 76689, 5798)	130768	76689	5798	79591792047276128	720575940622631382	L		AN	AN_LAL_1				0	unk		
(130336, 77537, 5798)	130336	77537	5798	79591860766751435	720575940633954927	L		AN	AN_GNG_161				0	unk		
(128407, 79623, 5798)	128407	79623	5798	79451260717333444	720575940630798893	L		SA	SA_DMT_DMetaN_5	DMT			0	unk		
(129181, 83193, 5798)	129181	83193	5798	79521835619942359	720575940631622681	L		AN	AN_GNG_196			SER	0.91	other		
(128622, 83510, 5798)	128622	83510	5798	79451466875765461	720575940634332773	L		AN	AN_GNG_197				0	unk		
(127491, 79047, 5798)	127491	79047	5798	79380823253682734	720575940635931994	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(131706, 78491, 5798)	131706	78491	5798	79662298230412860	720575940626890027	L		AN	AN_multi_unmatched			GLUT	0.64	GLUT		
(126643, 80016, 5798)	126643	80016	5798	79310523228978466	720575940637496179	L		AN	AN_GNG_174				0	unk		
(129742, 82441, 5798)	129742	82441	5798	79521766900478153	720575940632533203	L		AN	AN_multi_22			ACH	0.94	ACH		
(129411, 82412, 5798)	129411	82412	5798	79521766900475919	720575940641703584	L		AN	AN_AVLP_53			ACH	0.95	ACH		
(128338, 81285, 5798)	128338	81285	5798	79451329436815947	720575940641781152	L		AN	AN_GNG_178				0	unk		
(125134, 78554, 5798)	125134	78554	5798	79240085765331208	720575940642609700	L		SA	SA_DMT_DMetaN_12	DMT			0	unk		
(130655, 83597, 5798)	130655	83597	5798	79592273083581316	720575940636709958	L		SA	SA_VTV_6	VTV		SER	0.98	other		
(129393, 82581, 5798)	129393	82581	5798	79521835619950109	720575940652663457	L		AN	AN_AVLP_53			ACH	0.91	ACH		
(130697, 76293, 5798)	130697	76293	5798	79591723327812160	720575940639137955	L		AN	AN_multi_37			ACH	0.71	ACH		
(129056, 81040, 5798)	129056	81040	5798	79521698180992401	720575940615263188	L		AN	GNG_unmatched			ACH	0.79	ACH		
(130293, 79412, 5798)	130293	79412	5798	79591929486224016	720575940606224318	L		AN	AN_GNG_80				0	unk		
(127933, 77126, 5798)	127933	77126	5798	79451054558902113	720575940610334634	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(127186, 77815, 5798)	127186	77815	5798	79380754534206296	720575940612012207	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(126815, 82361, 5798)	126815	82361	5798	79310660667927791	720575940618737954	L		AN	AN_GNG_22			ACH	0.78	ACH		
(130016, 77618, 5798)	130016	77618	5798	79591860766748832	720575940621871797	L		AN	AN_GNG_IPS_14				0	unk		
(129317, 77020, 5798)	129317	77020	5798	79521423303089972	720575940618027143	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(130930, 80954, 5798)	130930	80954	5798	79592066925175932	720575940622803494	L		AN	AN_GNG_SAD_unmatched				0	unk		
(128235, 83652, 5798)	128235	83652	5798	79451535595219588	720575940630254929	L		AN	GNG_unmatched				0	unk		
(127489, 80787, 5798)	127489	80787	5798	79380960692625490	720575940605999049	L		SA	SA_DMT_ADMN_11	DMT			0	unk		
(129519, 81791, 5798)	129519	81791	5798	79521766900466019	720575940627404090	L		AN	AN_GNG_SAD_32			ACH	0.94	ACH		
(125430, 79174, 5798)	125430	79174	5798	79240085765327864	720575940621084040	L		AN	AN_GNG_172			ACH	0.67	ACH		
(130308, 82209, 5798)	130308	82209	5798	79592135644645398	720575940619841886	L		AN	AN_AVLP_51			ACH	0.88	ACH		
(129445, 82242, 5798)	129445	82242	5798	79521766900480273	720575940620677302	L		AN	AN_AVLP_53			ACH	0.92	ACH		
(125427, 78616, 5798)	125427	78616	5798	79240085765331274	720575940623296333	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(127641, 80846, 5798)	127641	80846	5798	79380960692625531	720575940637955968	L		SA	SA_DMT_ADMN_3	DMT		ACH	0.82	ACH		
(127715, 80750, 5798)	127715	80750	5798	79380960692624432	720575940641791904	L		SA	SA_DMT_ADMN_5	DMT		GLUT	0.57	unk		
(127117, 80713, 5798)	127117	80713	5798	79380960692627807	720575940618095173	L		SA	SA_DMT_ADMN_11	DMT			0	unk		
(127395, 79614, 5798)	127395	79614	5798	79380891973156733	720575940612683670	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(127496, 80615, 5798)	127496	80615	5798	79380960692637740	720575940621761293	L		SA	SA_DMT_ADMN_9	DMT			0	unk		
(124923, 74881, 5798)	124923	74881	5798	79239810887418136	720575940650261494	L		AN	AN_GNG_130				0	unk		
(128190, 83592, 5798)	128190	83592	5798	79451535595225564	720575940629965932	L		AN	AN_GNG_51			GABA	0.74	GABA		
(129952, 81978, 5798)	129952	81978	5798	79521766900472049	720575940615438521	L		AN	AN_GNG_165				0	unk		
(130384, 77649, 5798)	130384	77649	5798	79591860766744787	720575940628548711	L		AN	AN_SAD_GNG_1			GABA	0.64	GABA		
(127822, 83510, 5798)	127822	83510	5798	79381098131583605	720575940627824712	L		AN	AN_GNG_AMMC_1			GABA	0.47	unk		
(123830, 78487, 5798)	123830	78487	5798	79169717021133080	720575940644666916	L		AN	AN_GNG_2			ACH	0.8	ACH		
(129591, 83936, 5799)	129591	83936	5799	79521904339408370	720575940627538690	L		AN	AN_GNG_153			GABA	0.43	unk		
(125172, 79193, 5798)	125172	79193	5798	79240085765334056	720575940619910177	L		AN	AN_GNG_172				0	unk		
(129773, 83381, 5798)	129773	83381	5798	79521835619948509	720575940623118029	L		AN	AN_GNG_FLA_2			ACH	0.97	ACH		
(126932, 80439, 5798)	126932	80439	5798	79380891973150727	720575940629202962	L		AN	AN_GNG_31				0	unk		
(127310, 82203, 5798)	127310	82203	5798	79381029412120694	720575940627348712	L		AN	AN_GNG_35			GABA	0.6	unk		
(128883, 81125, 5798)	128883	81125	5798	79451329436819775	720575940613235423	L		AN	AN_GNG_179				0	unk		
(130054, 82901, 5798)	130054	82901	5798	79592204364125328	720575940613510002	L		AN	AN_multi_68			ACH	0.9	ACH		
(129821, 77425, 5798)	129821	77425	5798	79521423303078351	720575940630763724	L		AN	AN_GNG_IPS_12			GLUT	0.55	unk		
(124453, 80101, 5797)	124453	80101	5797	79169785740608735	720575940626339130	L		AN	AN_AVLP_GNG_1			ACH	0.87	ACH		
(124128, 79131, 5798)	124128	79131	5798	79169717021145067	720575940642422157	L		AN	AN_multi_8			GLUT	0.71	GLUT		
(128633, 83131, 5798)	128633	83131	5798	79451466875761305	720575940611932842	L		AN	AN_multi_19			GABA	0.76	GABA		
(126480, 80013, 5798)	126480	80013	5798	79310523228977376	720575940646554659	L		AN	AN_SPS_IPS_2			ACH	0.98	ACH		
(129430, 80762, 5798)	129430	80762	5798	79521698180993472	720575940645413940	L		AN	AN_GNG_IPS_10				0	unk		
(128641, 82179, 5798)	128641	82179	5798	79451398156291571	720575940624180519	L		AN	AN_AVLP_45			ACH	0.76	ACH		
(129512, 82393, 5798)	129512	82393	5798	79521766900478141	720575940627378950	L		AN	AN_AVLP_29			ACH	0.95	ACH		
(130530, 82603, 5798)	130530	82603	5798	79592204364127253	720575940620670657	L		AN	AN_multi_116			ACH	0.94	ACH		
(126477, 80892, 5798)	126477	80892	5798	79310591948460699	720575940618942721	L		AN	AN_GNG_19				0	unk		
(127973, 78333, 5798)	127973	78333	5798	79451123278370932	720575940606375772	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(127511, 78519, 5798)	127511	78519	5798	79380823253678745	720575940634963824	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(130287, 76817, 5798)	130287	76817	5798	79591792047269168	720575940606421001	L		AN	AN_IPS_GNG_4				0	unk		
(126621, 77960, 5798)	126621	77960	5798	79310385790030073	720575940608613934	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(130526, 77376, 5798)	130526	77376	5798	79591792047262286	720575940612331618	L		AN	AN_multi_38			GABA	0.65	GABA		
(130229, 82117, 5798)	130229	82117	5798	79592135644649255	720575940625883934	L		AN	AN_GNG_SAD_unmatched			SER	0.78	other		
(127881, 81050, 5798)	127881	81050	5798	79380960692625638	720575940631635271	L		SA	SA_DMT_ADMN_10	DMT			0	unk		
(127628, 80661, 5798)	127628	80661	5798	79380960692627758	720575940611557357	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(130882, 76808, 5798)	130882	76808	5798	79591792047284009	720575940611853265	L		AN	AN_GNG_VES_9			ACH	0.85	ACH		
(130977, 76766, 5798)	130977	76766	5798	79591792047278858	720575940629528380	L		AN	AN_GNG_VES_10			ACH	0.86	ACH		
(123270, 76332, 5798)	123270	76332	5798	79099142118511655	720575940611877841	L		AN	AN_multi_2			ACH	0.89	ACH		
(127864, 80596, 5798)	127864	80596	5798	79380960692634160	720575940623060924	L		SA	SA_DMT_ADMN_11	DMT			0	unk		
(125545, 77954, 5798)	125545	77954	5798	79240017045853118	720575940605223601	L		AN	AN_GNG_177			ACH	0.74	ACH		
(130293, 79649, 5798)	130293	79649	5798	79591998205699160	720575940628428443	L		AN	AN_multi_49			ACH	0.87	ACH		
(130433, 76687, 5798)	130433	76687	5798	79591792047274674	720575940613292610	L		AN	AN_GNG_IPS_14				0	unk		
(127066, 79444, 5798)	127066	79444	5798	79380823253678365	720575940613302431	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(125028, 80098, 5798)	125028	80098	5798	79240154484796197	720575940613439903	L		AN	AN_GNG_171			ACH	0.88	ACH		
(129788, 82356, 5798)	129788	82356	5798	79521766900481536	720575940613882822	L		AN	AN_GNG_165			ACH	0.79	ACH		
(130762, 78182, 5798)	130762	78182	5798	79591860766751886	720575940614438685	L		AN	AN_multi_44			ACH	0.79	ACH		
(128844, 83975, 5798)	128844	83975	5798	79451535595225960	720575940628598142	L		AN	AN_VES_GNG_8			ACH	0.93	ACH		
(125433, 79522, 5798)	125433	79522	5798	79240154484803759	720575940616862550	L		AN	AN_GNG_172				0	unk		
(127272, 82676, 5799)	127272	82676	5799	79381098131578952	720575940646473838	L		AN	AN_GNG_VES_4			ACH	0.96	ACH		
(126497, 79887, 5798)	126497	79887	5798	79310523228968865	720575940621363469	L		AN	AN_GNG_172				0	unk		
(125541, 79612, 5798)	125541	79612	5798	79240154484800665	720575940616709022	L		SA	SA_DMT_DMetaN_unmatched	DMT		ACH	0.56	unk		
(130247, 83822, 5798)	130247	83822	5798	79592273083599576	720575940634626144	L		AN	AN_multi_72			GLUT	0.71	GLUT		
(127570, 77869, 5798)	127570	77869	5798	79380754534195410	720575940618171073	L		SA	SA_DMT_DMetaN_12	DMT			0	unk		
(125285, 79195, 5798)	125285	79195	5798	79240085765326614	720575940618401605	L		AN	AN_IPS_GNG_6			ACH	0.72	ACH		
(127810, 80864, 5798)	127810	80864	5798	79380960692624467	720575940628651369	L		SA	SA_DMT_ADMN_5	DMT		ACH	0.96	ACH		
(129817, 82856, 5798)	129817	82856	5798	79521835619944486	720575940632754003	L		AN	AN_multi_27			ACH	0.92	ACH		
(125829, 79760, 5798)	125829	79760	5798	79240154484802991	720575940619389168	L		AN	AN_GNG_SAD_31				0	unk		
(128209, 80592, 5798)	128209	80592	5798	79451329436820716	720575940619389680	L		SA	SA_DMT_ADMN_1	DMT			0	unk		
(125122, 76313, 5798)	125122	76313	5798	79239879606911895	720575940620718605	L		AN	AN_GNG_113			ACH	0.86	ACH		
(129510, 83042, 5798)	129510	83042	5798	79521835619949460	720575940620742605	L		AN	AN_WED_GNG_2			ACH	0.92	ACH		
(130061, 79800, 5798)	130061	79800	5798	79591998205704651	720575940639668688	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(125710, 77998, 5798)	125710	77998	5798	79240017045863521	720575940621157887	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(127955, 83649, 5798)	127955	83649	5798	79451535595232521	720575940627488252	L		AN	AN_GNG_SAD_22				0	unk		
(124431, 78244, 5798)	124431	78244	5798	79169648301664180	720575940621114974	L		AN	AN_multi_6			GABA	0.51	unk		
(127878, 78859, 5798)	127878	78859	5798	79380823253679089	720575940621762567	L		AN	GNG_unmatched				0	unk		
(124854, 78530, 5798)	124854	78530	5798	79240085765327427	720575940621776135	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(127389, 80752, 5798)	127389	80752	5798	79380960692627822	720575940622517784	L		SA	SA_DMT_ADMN_11	DMT		ACH	0.78	ACH		
(125086, 79026, 5798)	125086	79026	5798	79240085765325334	720575940622561063	L		AN	GNG_unmatched				0	unk		
(127668, 78454, 5798)	127668	78454	5798	79380754534190231	720575940629587011	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(128758, 82565, 5798)	128758	82565	5798	79451466875759392	720575940623817776	L		AN	AN_AVLP_10			GABA	0.83	GABA		
(127504, 80503, 5798)	127504	80503	5798	79380891973153562	720575940610183154	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(128363, 76434, 5798)	128363	76434	5798	79451054558899372	720575940624372738	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(125439, 79102, 5798)	125439	79102	5798	79240085765325401	720575940619054433	L		AN	AN_GNG_172				0	unk		
(129578, 77809, 5798)	129578	77809	5798	79521492022561728	720575940619643771	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(130820, 80558, 5798)	130820	80558	5798	79592066925186695	720575940619202901	L		AN	AN_multi_58			ACH	0.87	ACH		
(128182, 78757, 5798)	128182	78757	5798	79451191997862516	720575940625864424	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(128671, 78950, 5798)	128671	78950	5798	79451191997856054	720575940619381108	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(124678, 78094, 5798)	124678	78094	5798	79169648301673599	720575940629972983	L		AN	AN_GNG_175			ACH	0.71	ACH		
(127177, 80328, 5798)	127177	80328	5798	79380891973150487	720575940629633536	L		SA	SA_DMT_ADMN_7	DMT			0	unk		
(127721, 81403, 5798)	127721	81403	5798	79380960692620427	720575940634584312	L		AN	AN_GNG_156			ACH	0.95	ACH		
(128863, 82473, 5798)	128863	82473	5798	79451398156296614	720575940632015699	L		AN	AN_AVLP_GNG_unmatched			GABA	0.86	GABA		
(128764, 82410, 5798)	128764	82410	5798	79451398156295360	720575940629630520	L		AN	AN_AVLP_35			ACH	0.93	ACH		
(129230, 81977, 5798)	129230	81977	5798	79521766900487181	720575940616449093	L		AN	AN_multi_24			ACH	0.73	ACH		
(128944, 82100, 5798)	128944	82100	5798	79521766900478004	720575940627546750	L		AN	AN_AVLP_45			ACH	0.87	ACH		
(128629, 81072, 5798)	128629	81072	5798	79451329436819718	720575940624822003	L		AN	AN_GNG_181			GABA	0.45	unk		
(128280, 78505, 5798)	128280	78505	5798	79451191997863644	720575940626702159	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(126512, 80124, 5798)	126512	80124	5798	79310523228963989	720575940627108967	L		AN	AN_GNG_IPS_19			ACH	0.94	ACH		
(128011, 77907, 5798)	128011	77907	5798	79451123278384248	720575940650268150	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(130598, 80963, 5798)	130598	80963	5798	79592066925175938	720575940606401970	L		AN	GNG_unmatched			SER	0.48	unk		
(126891, 81826, 5798)	126891	81826	5798	79310660667934013	720575940620066142	L		AN	AN_GNG_24			ACH	0.59	unk		
(125989, 82333, 5799)	125989	82333	5799	79310660667934268	720575940627697664	L		AN	AN_GNG_162			ACH	0.77	ACH		
(129173, 82346, 5798)	129173	82346	5798	79521766900480323	720575940627816492	L		SA	SA_DLV	DLV		ACH	0.5	unk		
(128070, 77796, 5798)	128070	77796	5798	79451123278378622	720575940606388060	L		SA	SA_DMT_DMetaN_12	DMT			0	unk		
(128534, 80380, 5798)	128534	80380	5798	79451260717341075	720575940605305010	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(128713, 82061, 5798)	128713	82061	5798	79451398156291493	720575940628552054	L		AN	AN_AVLP_34			ACH	0.86	ACH		
(127426, 82404, 5798)	127426	82404	5798	79381029412126987	720575940615307154	L		AN	AN_multi_15			GABA	0.85	GABA		
(126161, 80940, 5798)	126161	80940	5798	79310591948463497	720575940621013517	L		AN	AN_GNG_203			ACH	0.91	ACH		
(125303, 77044, 5798)	125303	77044	5798	79239948326378706	720575940631401698	L		AN	AN_GNG_175				0	unk		
(127939, 80329, 5797)	127939	80329	5797	79451260717331474	720575940627383614	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(129045, 81740, 5798)	129045	81740	5798	79521766900487051	720575940619801793	L		AN	AN_GNG_148			ACH	0.94	ACH		
(124975, 77429, 5798)	124975	77429	5798	79239948326362601	720575940617484248	L		AN	AN_GNG_175			ACH	0.83	ACH		
(124916, 78767, 5798)	124916	78767	5798	79240085765334986	720575940631689753	L		SA	SA_DMT_DMetaN_8	DMT			0	unk		
(124650, 78603, 5798)	124650	78603	5798	79169717021145809	720575940605692704	L		AN	AN_GNG_175				0	unk		
(128917, 75664, 5798)	128917	75664	5798	79450985839433374	720575940627881728	L		AN	AN_IPS_GNG_2			ACH	0.63	ACH		
(130557, 84098, 5798)	130557	84098	5798	79592273083590664	720575940633366498	L		SA	SA_VTV_2	VTV		ACH	0.87	ACH		
(127473, 77980, 5798)	127473	77980	5798	79380754534199566	720575940628557519	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(127375, 83256, 5799)	127375	83256	5799	79381098131581445	720575940613706546	L		AN	AN_AVLP_GNG_5			ACH	0.44	unk		
(127489, 80666, 5798)	127489	80666	5798	79380960692623275	720575940617867589	L		SA	SA_DMT_ADMN_7	DMT			0	unk		
(127016, 78732, 5797)	127016	78732	5797	79380823253672812	720575940617429208	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(127305, 80370, 5798)	127305	80370	5798	79380891973155860	720575940618671854	L		SA	SA_DMT_DMetaN_unmatched	DMT			0	unk		
(130740, 79434, 5798)	130740	79434	5798	79591929486203345	720575940620373469	L		AN	AN_multi_46			ACH	0.81	ACH		
(126285, 82624, 5799)	126285	82624	5799	79310729387393675	720575940613266026	L		AN	AN_GNG_169			ACH	0.93	ACH		
(129462, 83126, 5798)	129462	83126	5798	79521835619951821	720575940606346332	L		AN	AN_GNG_120			GLUT	0.62	GLUT		
(130504, 74896, 5798)	130504	74896	5798	79591654608321678	720575940619533483	L		AN	GNG_unmatched			GLUT	0.59	unk		
(130488, 83685, 5798)	130488	83685	5798	79592273083605019	720575940627493638	L		AN	AN_GNG_SAD_30			ACH	0.96	ACH		
(130267, 83041, 5798)	130267	83041	5798	79592204364127649	720575940611778713	L		AN	AN_GNG_117			ACH	0.72	ACH		
(131683, 79175, 5798)	131683	79175	5798	79662298230408089	720575940623302988	L		AN	AN_multi_81			ACH	0.83	ACH		
(129124, 83035, 5798)	129124	83035	5798	79521835619945804	720575940611904296	L		AN	AN_multi_103			GABA	0.76	GABA		
(127432, 83137, 5799)	127432	83137	5799	79381098131577125	720575940612416766	L		AN	AN_GNG_200			GABA	0.6	unk		
(125551, 77296, 5798)	125551	77296	5798	79239948326376307	720575940624057525	L		AN	AN_GNG_IPS_1			ACH	0.47	unk		
(129500, 82221, 5798)	129500	82221	5798	79521766900477005	720575940635905893	L		AN	AN_AVLP_53			ACH	0.89	ACH		
(128191, 83141, 5798)	128191	83141	5798	79451466875757648	720575940611603502	L		AN	AN_AVLP_36			ACH	0.91	ACH		
(128993, 82386, 5798)	128993	82386	5798	79521766900479278	720575940613796806	L		SA	SA_DLV	DLV		ACH	0.51	unk		
(129349, 81896, 5798)	129349	81896	5798	79521766900480088	720575940628851984	L		AN	GNG_unmatched			ACH	0.91	ACH		
(125559, 79692, 5798)	125559	79692	5798	79240154484797185	720575940623060883	L		AN	AN_GNG_9			ACH	0.88	ACH		
(130990, 80915, 5798)	130990	80915	5798	79592066925169760	720575940625101389	L		AN	AN_GNG_SAD_unmatched				0	unk		
(124681, 77349, 5798)	124681	77349	5798	79169579582195852	720575940622072299	L		AN	AN_GNG_175			ACH	0.85	ACH		
(125466, 77782, 5798)	125466	77782	5798	79240017045854203	720575940618019207	L		AN	AN_GNG_IPS_unmatched			ACH	0.83	ACH		
(128495, 82490, 5798)	128495	82490	5798	79451398156299074	720575940610514073	L		AN	AN_AVLP_GNG_21			ACH	0.7	ACH		
(129517, 83198, 5798)	129517	83198	5798	79521835619942383	720575940618459485	L		AN	AN_GNG_69			GABA	0.52	unk		
(130572, 77762, 5798)	130572	77762	5798	79591860766751569	720575940628515115	L		AN	AN_GNG_78			ACH	0.58	unk		
(129384, 83563, 5798)	129384	83563	5798	79521835619949864	720575940620096926	L		AN	AN_GNG_67			GABA	0.64	GABA		
(130886, 76633, 5798)	130886	76633	5798	79591792047270540	720575940633183559	L		AN	AN_GNG_VES_9			ACH	0.87	ACH		
(129728, 83408, 5798)	129728	83408	5798	79521835619946080	720575940634725345	L		AN	AN_AVLP_GNG_7			GABA	0.67	GABA		
(130926, 83636, 5798)	130926	83636	5798	79592273083592661	720575940629416266	L		AN	AN_multi_121			ACH	0.74	ACH		
(130412, 81964, 5798)	130412	81964	5798	79592135644645256	720575940624910128	L		AN	AN_multi_61			ACH	0.88	ACH		
(129402, 84049, 5798)	129402	84049	5798	79521904339401452	720575940621749697	L		AN	AN_multi_31			GLUT	0.86	GLUT		
(129134, 83425, 5798)	129134	83425	5798	79521835619948558	720575940640413043	L		AN	AN_GNG_66			GLUT	0.36	unk		
(127125, 82872, 5799)	127125	82872	5799	79381098131571382	720575940611123093	L		AN	AN_GNG_SAD_33			GABA	0.66	GABA		
(128096, 80907, 5798)	128096	80907	5798	79451329436815719	720575940620357597	L		SA	SA_DMT_ADMN_8	DMT			0	unk		
(128438, 81889, 5798)	128438	81889	5798	79451398156296287	720575940620811656	L		AN	AN_GNG_46			GLUT	0.52	unk		
(130679, 83007, 5798)	130679	83007	5798	79592204364119888	720575940643683744	L		AN	AN_AVLP_PVLP_4			ACH	0.86	ACH		
(130372, 77064, 5798)	130372	77064	5798	79591792047276380	720575940633884512	L		AN	AN_multi_40			GABA	0.8	GABA		
(128298, 82380, 5798)	128298	82380	5798	79451398156292873	720575940609651758	L		AN	AN_AVLP_42			ACH	0.74	ACH		
(130660, 73267, 5464)	130660	73267	5464	79591517102485327	720575940620631974	L		AN	AN_GNG_76			ACH	0.75	ACH		
(129546, 81753, 5798)	129546	81753	5798	79521766900473126	720575940628599803	L		AN	AN_GNG_184				0	unk		
(128538, 83332, 5798)	128538	83332	5798	79451466875757710	720575940629901047	L		AN	AN_AVLP_9			GABA	0.87	GABA		
(129622, 81939, 5798)	129622	81939	5798	79521766900477931	720575940619373703	L		AN	AN_AVLP_14			ACH	0.9	ACH		
(129002, 83835, 5798)	129002	83835	5798	79521904339381944	720575940610784370	L		AN	AN_GNG_198			GABA	0.63	GABA		
(129101, 82243, 5798)	129101	82243	5798	79521766900480266	720575940639811024	L		AN	AN_AVLP_17			ACH	0.94	ACH		
(128460, 82598, 5798)	128460	82598	5798	79451466875759342	720575940621057285	L		AN	AN_AVLP_31			ACH	0.93	ACH		
(130349, 83841, 5798)	130349	83841	5798	79592273083598481	720575940629185084	L		AN	AN_GNG_167			GLUT	0.81	GLUT		
(130763, 76904, 5798)	130763	76904	5798	79591792047276266	720575940621765813	L		AN	AN_GNG_60			GLUT	0.79	GLUT		
(130444, 83014, 5798)	130444	83014	5798	79592204364126534	720575940622401267	L		AN	AN_GNG_191			ACH	0.84	ACH		
(125894, 79736, 5798)	125894	79736	5798	79310523228971381	720575940629473067	L		AN	AN_GNG_172				0	unk		
(125597, 79536, 5798)	125597	79536	5798	79240154484799435	720575940623777061	L		AN	AN_GNG_142			ACH	0.97	ACH		
(129638, 82870, 5798)	129638	82870	5798	79521835619945724	720575940603814060	L		AN	AN_AVLP_GNG_23			GABA	0.63	GABA		
(130498, 82804, 5798)	130498	82804	5798	79592204364128618	720575940627403719	L		AN	AN_GNG_190			ACH	0.82	ACH		
(128391, 80852, 5798)	128391	80852	5798	79451329436813142	720575940619003969	L		SA	SA_DMT_ADMN_2	DMT		ACH	0.77	ACH		
(126955, 82966, 5799)	126955	82966	5799	79381098131580201	720575940635029146	L		AN	AN_GNG_VES_7			GABA	0.76	GABA		
(127439, 82135, 5798)	127439	82135	5798	79381029412124416	720575940640396173	L		AN	AN_GNG_37			ACH	0.6	unk		
(124965, 78896, 5798)	124965	78896	5798	79240085765330164	720575940625429647	L		AN	AN_IPS_GNG_6			ACH	0.97	ACH		
(128096, 83092, 5799)	128096	83092	5799	79451466875757577	720575940625486357	L		AN	AN_AVLP_SAD_1			ACH	0.85	ACH		
(126866, 82683, 5799)	126866	82683	5799	79310729387394867	720575940612887080	L		AN	AN_VES_GNG_1			GABA	0.85	GABA		
(129540, 83493, 5798)	129540	83493	5798	79521835619948645	720575940614678751	L		AN	AN_GNG_197			GLUT	0.5	unk		
(128175, 82734, 5799)	128175	82734	5799	79451466875756075	720575940622102182	L		AN	AN_AVLP_GNG_21			ACH	0.81	ACH		
(130476, 84200, 5798)	130476	84200	5798	79592273083598767	720575940625526805	L		SA	SA_VTV_2	VTV		ACH	0.86	ACH		
(129919, 82173, 5798)	129919	82173	5798	79521766900480241	720575940612608790	L		AN	AN_AVLP_51			ACH	0.85	ACH		
(128998, 83202, 5798)	128998	83202	5798	79521835619944690	720575940640515699	L		AN	AN_GNG_123				0	unk		
(129338, 83764, 5798)	129338	83764	5798	79521904339402360	720575940637106295	L		AN	AN_GNG_154				0	unk		
